UniqueID,include,Site,Region,SID,SpecID,ACE_file,NAU_ACE#,FractionModern,plus/minus,D14C(%0),plus/minus,14Cage(BP),plus/minus,14C_notes,cal age (95% CI) (cal. BP),,med_cal_age,tempID,SpecStatus,Fragmentation,Taxon1,Taxon2,PicIDtop,PickIDback,SamDepth,Long,Lat,Depth,Temp,Salinity,Year,Month,Day,WgSpec,Status,ApicPl,Petals,TubAbr1,TubAbr2,TubAbr3,SurfAbr1,SurfAbr2,SurfAbr3,PoreAbr1,PoreAbr2,PoreAbr3,Frag1,Frag2,Frag3,Frag4,Encrust,Dh,Key
1_1,0,CK-5,Cedar Key,CK-5-2,1,29C230304GIS,3626.1.1,0.9828,0.0068,-16.3,6.8,132,56,,-8,-11,-10,A1,dead,complete,e,juvenile clypeasteroid,CK5-Sp1a,CK5-Sp1o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.004,Dated,,,,,,,,,,,,,,,,,,SID = unique sample identifier
1_2,0,CK-5,Cedar Key,CK-5-2,1,29C230304GIS,3628.1.1,0.9941,0.0069,-4.9,6.9,39,56,,-9,-12,-10,A1,dead,complete,e,juvenile clypeasteroid,CK5-Sp1a,CK5-Sp1o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.004,Dated,,,,,,,,,,,,,,,,,,tempID = ID given to specimens for random selection
1_m,1,CK-6,Cedar Key,CK-5-3,2,,,0.9884,0.008,,,,,,-8,-12,-10,A1,dead,complete,e,juvenile clypeasteroid,CK5-Sp1a,CK5-Sp1o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.004,Dated,,,,,,,,,,,,,,,,,,
2,0,CK-5,Cedar Key,CK-5-2,2,,,,,,,,,,,,,A2,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0031,Stored,,,,,,,,,,,,,,,,,,Region = sample region
3,0,CK-5,Cedar Key,CK-5-2,3,,,,,,,,,,,,,A3,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0023,Stored,,,,,,,,,,,,,,,,,,Site = unique sample locality
4,0,CK-5,Cedar Key,CK-5-2,4,,,,,,,,,,,,,A4,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0018,Stored,,,,,,,,,,,,,,,,,,SpecID = unique specimen ID
5,1,CK-5,Cedar Key,CK-5-2,5,29C230111GAS,3310.1.1,0.9975,0.0089,-2.5,9,21,72,,-9,-12,-11,A5,dead,complete,e,juvenile clypeasteroid,CK5-Sp5a,CK5-Sp5o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.002,Dated,,,,,,,,,,,,,,,,,,PicIDtop = picture ID of specimen from top view
6,0,CK-5,Cedar Key,CK-5-2,6,,,,,,,,,,,,,A6,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0023,Stored,,,,,,,,,,,,,,,,,,PicIDback = picture ID of specimen from back view
7_1,0,CK-5,Cedar Key,CK-5-2,7,29C230304GIS,3627.1.1,1.0054,0.007,6.4,7,-52,56,,-10,-65,-63,B1,dead,complete,e,juvenile clypeasteroid,CK5-Sp7a,CK5-Sp7o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0032,Dated,,,,,,,,,,,,,,,,,,Sample = unique sample at sample locality
7_2,0,CK-5,Cedar Key,CK-5-2,7,29C230304GIS,3629.1.1,1.0014,0.0069,2.4,6.9,-19,56,,-9,-65,-12,B1,dead,complete,e,juvenile clypeasteroid,CK5-Sp7a,CK5-Sp7o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0032,Dated,,,,,,,,,,,,,,,,,,
7_m,1,CK-5,Cedar Key,CK-5-2,7,,,1.0034,0.0049,,,,,,-10,-65,-64,B1,dead,complete,e,juvenile clypeasteroid,CK5-Sp7a,CK5-Sp7o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0032,Dated,,,,,,,,,,,,,,,,,,
8,1,CK-5,Cedar Key,CK-5-2,8,29C230111GAS,3311.1.1,0.9831,0.0089,-16.9,8.9,137,73,,45,-12,-9,B2,dead,complete,e,juvenile clypeasteroid,CK5-Sp8a,CK5-Sp8o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0025,Dated,,,,,,,,,,,,,,,,,,SamDepth = sediment depth of sample
9,0,CK-5,Cedar Key,CK-5-2,9,,,,,,,,,,,,,B3,dead,complete,e,juvenile clypeasteroid,CK5-Sp9a,CK5-Sp9o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0021,Stored,,,,,,,,,,,,,,,,,,surface = surficial sediment
10,0,CK-5,Cedar Key,CK-5-2,10,,,,,,,,,,,,,B4,dead,complete,e,juvenile clypeasteroid,CK5-Sp10a,CK5-Sp10o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0019,Stored,,,,,,,,,,,,,,,,,,deep = ~20+ cm
11,1,CK-5,Cedar Key,CK-5-2,11,29C230304GIS,3630.1.1,0.9998,0.0072,0.8,7.2,-6,58,,-9,-12,-11,B5,dead,complete,e,juvenile clypeasteroid,CK5-Sp11a,CK5-Sp11o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0019,Dated,,,,,,,,,,,,,,,,,,Long = longitude (WGS84)
12,1,CK-5,Cedar Key,CK-5-2,12,29C230111GAS,3312.1.1,0.9058,0.0084,-94.2,8.5,795,75,,547,169,380,B6,dead,complete,e,juvenile clypeasteroid,CK5-Sp12a,CK5-Sp12o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0035,Dated,,,,,,,,,,,,,,,,,,Lat = Latitude (WGS84)
13,0,CK-5,Cedar Key,CK-5-4,1,,,,,,,,,,,,,A1,dead,complete,e,juvenile clypeasteroid,CK5-Sp13a,CK5-Sp13o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0016,Stored,,,,,,,,,,,,,,,,,,Depth = sample depth [m]
14,1,CK-5,Cedar Key,CK-5-4,2,29C230304GIS,3631.1.1,0.998,0.007,-1,7,8,57,,-9,-12,-11,A2,dead,complete,e,juvenile clypeasteroid,CK5-Sp14a,CK5-Sp14o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0018,Dated,,,,,,,,,,,,,,,,,,Temp = water temperature at sample site (from dive computer) [C]
15,1,CK-5,Cedar Key,CK-5-6,1,29C230304GIS,3632.1.1,0.9906,0.007,-8.4,7,68,57,,-9,-12,-10,A1,dead,complete,e,juvenile clypeasteroid,CK5-Sp15a,CK5-Sp15o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0027,Dated,,,,,,,,,,,,,,,,,,Salinity = water salinity at sample site [ppm]
16,1,CK-5,Cedar Key,CK-5-6,2,29C230304GIS,3633.1.1,0.9969,0.0075,-2.1,7.5,17,60,,-9,-12,-11,A2,dead,complete,e,juvenile clypeasteroid,CK5-Sp16a,CK5-Sp16o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0043,Dated,,,,,,,,,,,,,,,,,,Year = year of sampling
17,0,CK-5,Cedar Key,CK-5-6,3,,,,,,,,,,,,,A3,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0036,Stored,,,,,,,,,,,,,,,,,,Month = month of sampling
18,0,CK-5,Cedar Key,CK-5-6,4,,,,,,,,,,,,,A4,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0021,Stored,,,,,,,,,,,,,,,,,,Day = day in month of sampling
19,1,CK-5,Cedar Key,CK-5-6,5,29C230304GIS,3634.1.1,0.9896,0.0071,-9.5,7.1,77,57,,-8,-12,-10,A5,dead,complete,e,juvenile clypeasteroid,CK5-Sp19a,CK5-Sp19o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0021,Dated,,,,,,,,,,,,,,,,,,WgSpec = dry weight of specimen [g]
20,1,CK-5,Cedar Key,CK-5-6,6,29C230111GAS,3313.1.1,1.0008,0.009,0.8,9.1,-6,73,,-9,-66,-12,A6,dead,complete,e,juvenile clypeasteroid,CK5-Sp20a,CK5-Sp20o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0038,Dated,,,,,,,,,,,,,,,,,,"TubAbr1 = tubercle abrasion: mamelon + boss present, mamelon can be partly abraded"
21,1,CK-5,Cedar Key,CK-5-6,7,29C230304GIS,3635.1.1,1.001,0.0073,2,7.3,-16,58,,-9,-66,-12,B1,dead,complete,e,juvenile clypeasteroid,CK5-Sp21a,CK5-Sp21o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0076,Dated,,,,,,,,,,,,,,,,,,1 = <25%
22,0,CK-5,Cedar Key,CK-5-6,8,,,,,,,,,,,,,B2,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0049,Stored,,,,,,,,,,,,,,,,,,2 = 25-50%
23,0,CK-5,Cedar Key,CK-5-6,9,,,,,,,,,,,,,B3,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0024,Stored,,,,,,,,,,,,,,,,,,3 = 50-75%
24,1,CK-5,Cedar Key,CK-5-6,10,29C230304GIS,3636.1.1,1.0007,0.0073,1.7,7.3,-13,58,,-9,-66,-12,B4,dead,complete,e,juvenile clypeasteroid,CK5-Sp24a,CK5-Sp24o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0032,Dated,,,,,,,,,,,,,,,,,,4 = >75%
25,1,CK-5,Cedar Key,CK-5-6,11,29C230111GAS,3314.1.1,0.9906,0.0087,-9.4,8.8,76,71,,-8,-12,-10,B5,dead,complete,e,juvenile clypeasteroid,CK5-Sp25a,CK5-Sp25o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Dated,,,,,,,,,,,,,,,,,,"TubAbr2 = tubercle abrasion: boss present, mamelon gone"
26,1,CK-5,Cedar Key,CK-5-6,12,29C230111GAS,3315.1.1,0.9968,0.009,-3.2,9,26,73,,-9,-12,-11,B6,dead,complete,e,juvenile clypeasteroid,CK5-Sp26a,CK5-Sp26o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Dated,,,,,,,,,,,,,,,,,,1 = <25%
27,1,CK-5,Cedar Key,CK-5-6,13,29C230304GIS,3637.1.1,0.9965,0.0073,-2.6,7.3,21,59,,-9,-12,-11,C1,dead,complete,e,juvenile clypeasteroid,CK5-Sp27a,CK5-Sp27o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Dated,,,,,,,,,,,,,,,,,,2 = 25-50%
28,0,CK-5,Cedar Key,CK-5-6,14,,,,,,,,,,,,,C2,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0029,Stored,,,,,,,,,,,,,,,,,,3 = 50-75%
29,0,CK-5,Cedar Key,CK-5-6,15,,,,,,,,,,,,,C3,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0019,Stored,,,,,,,,,,,,,,,,,,4 = >75%
30,1,CK-5,Cedar Key,CK-5-6,16,29C230111GAS,3316.1.1,1.0133,0.0091,13.3,9.1,-106,72,,-10,-65,-63,C4,dead,complete,e,juvenile clypeasteroid,CK5-Sp30a,CK5-Sp30o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0039,Dated,,,,,,,,,,,,,,,,,,TubAbr3 = tubercle abrasion: boss + mamelon gone
31,0,CK-5,Cedar Key,CK-5-6,17,,,,,,,,,,,,,C5,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.002,Stored,,,,,,,,,,,,,,,,,,1 = <25%
32,1,CK-5,Cedar Key,CK-5-6,18,29C230304GIS,3638.1.1,0.989,0.007,-10,7,81,57,,-8,-11,-10,C6,dead,complete,e,juvenile clypeasteroid,CK5-Sp32a,CK5-Sp32o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0018,Dated,,,,,,,,,,,,,,,,,,2 = 25-50%
33,1,CK-5,Cedar Key,CK-5-6,19,29C230304GIS,3639.1.1,0.9933,0.0074,-5.7,7.4,46,60,,-9,-12,-10,D1,dead,complete,e,juvenile clypeasteroid,CK5-Sp33a,CK5-Sp33o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0017,Dated,,,,,,,,,,,,,,,,,,3 = 50-75%
34,1,CK-5,Cedar Key,CK-5-6,20,29C230304GIS,3640.1.1,0.9942,0.0074,-4.9,7.4,39,59,,-9,-12,-10,D2,dead,complete,e,juvenile clypeasteroid,CK5-Sp34a,CK5-Sp34o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0016,Dated,,,,,,,,,,,,,,,,,,4 = >75%
35,1,CK-5,Cedar Key,CK-5-6,21,29C230304GIS,3641.1.1,0.9929,0.0072,-6.1,7.2,49,59,,-9,-12,-10,D3,dead,complete,e,juvenile clypeasteroid,CK5-Sp35a,CK5-Sp35o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.002,Dated,,,,,,,,,,,,,,,,,,SurfAbr1 = surface abrasion: no abrasion visible
36,0,CK-5,Cedar Key,CK-5-6,22,,,,,,,,,,,,,D4,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0025,Stored,,,,,,,,,,,,,,,,,,1 = <25%
37,1,CK-5,Cedar Key,CK-5-6,23,29C230111GAS,3317.1.1,1.0045,0.009,4.5,9,-36,72,,-9,-65,-63,D5,dead,complete,e,juvenile clypeasteroid,CK5-Sp37a,CK5-Sp37o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0034,Dated,,,,,,,,,,,,,,,,,,2 = 25-50%
38,1,CK-5,Cedar Key,CK-5-6,24,29C230111GAS,3318.1.1,0.9885,0.0089,-11.5,8.9,93,73,,-8,-12,-10,D6,dead,complete,e,juvenile clypeasteroid,CK5-Sp38a,CK5-Sp38o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Dated,,,,,,,,,,,,,,,,,,3 = 50-75%
39,0,CK-5,Cedar Key,CK-5-6,25,,,,,,,,,,,,,2-A1,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0026,Stored,,,,,,,,,,,,,,,,,,4 = >75%
40,0,CK-5,Cedar Key,CK-5-6,26,,,,,,,,,,,,,2-A2,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0018,Stored,,,,,,,,,,,,,,,,,,"SurfAbr2 = surface abrasion: stereom slightly abraded, labyrinthic stereom not visible"
41,1,CK-5,Cedar Key,CK-5-6,27,29C230304GIS,3642.1.1,0.9937,0.0075,-5.3,7.5,43,60,,-9,-12,-10,2-A3,dead,complete,e,juvenile clypeasteroid,CK5-Sp41a,CK5-Sp41o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.003,Dated,,,,,,,,,,,,,,,,,,1 = <25%
